gene,0
LEPR,0.45481777
LAG3,0.29828003
FSTL1,0.2596279
DBN1,0.23707053
AVP,0.21645972
ATP7B,0.19635983
KIF3C,0.17949268
SOCS2,0.17928682
FREM1,0.17404196
SERPINH1,0.17308465
PTMS,0.1680707
IGHM,0.16365004
ISG20,0.1553851
MAF,0.1489802
SLC45A3,0.14786865
VWF,0.1452626
HSPG2,0.14503852
GRB10,0.14154287
OLFML2A,0.13510272
MBOAT2,0.12701112
SH3PXD2A,0.12528393
PSMG3,0.12513557
SEL1L3,0.12322375
SERPING1,0.121884316
SESN2,0.11996773
MMP2,0.11983911
ANPEP,0.11903675
PDLIM1,0.116401814
MYC,0.1161473
TNS1,0.11462912
CLEC9A,0.111258075
CD9,0.10982366
GUCY1B1,0.10924576
GSTM3,0.106990494
CPA3,0.10449486
MICALL2,0.10408522
SLC38A5,0.10332264
COL18A1,0.1032671
GOLM1,0.1022678
CYP7B1,0.10059148
VEGFA,0.09772973
RGS10,0.096561775
STEAP3,0.095303744
SEMA7A,0.0951071
BIN1,0.09439946
RHEX,0.093650185
SPARC,0.09312598
FOSL1,0.09000316
SLC37A4,0.08881763
LMO4,0.08758868
PTPN7,0.087141916
PTGES3L,0.087069504
VWA5A,0.08550361
TIMP1,0.08439312
SPNS3,0.08372879
TOP1MT,0.08255307
ADGRG1,0.08079123
ACOT7,0.080682136
PRKAR2B,0.08053681
MAMDC2,0.079902664
TNIK,0.07912229
HSPB1,0.0786021
PBX1,0.076445654
DHCR24,0.07643774
BDH1,0.07622413
NR1H3,0.07481811
TEC,0.07466841
ICAM5,0.071734294
VAMP5,0.07156685
BEX3,0.07070397
TIE1,0.06976797
FN3K,0.069724925
SUSD3,0.069597974
SCD,0.06920433
EAF2,0.06906924
DPYSL3,0.06858918
KCNK5,0.06841029
ZNF185,0.067906745
PALM2AKAP2,0.06767029
SRC,0.06748592
NUP37,0.066882655
NBL1,0.066821754
CPXM1,0.0651335
CD52,0.0645201
FECH,0.06326795
LZTS2,0.06224257
DNPH1,0.060946994
CALHM6,0.06052307
CD84,0.06042465
FDXR,0.06013914
MLLT3,0.059891645
SPNS2,0.059889413
ACTN1,0.059173044
CSF1,0.05910858
PIM1,0.05888347
TGFB1I1,0.058691617
NPDC1,0.058244374
PRSS57,0.05787289
PAPSS1,0.057785705
XBP1,0.05721563
IDH2,0.057103883
SIAE,0.05708935
TP53INP1,0.05672719
GP1BB,0.05643461
SYTL4,0.055779614
ATIC,0.05481444
ALDH5A1,0.05474805
MT2A,0.05429825
CLN6,0.054174557
CCNG1,0.05395473
MEX3B,0.053760044
H2AC25,0.05359998
STARD8,0.05359894
NECTIN2,0.05336867
ATP13A2,0.053262495
