gene,0
GBP5,0.92115736
SERPING1,0.87802976
ANKRD22,0.6951329
SLAMF7,0.6927711
PLAAT4,0.6359218
CXCL10,0.6354873
HAPLN3,0.6334735
IFITM3,0.61328244
VAMP5,0.60501784
GBP1,0.60370934
TGM2,0.5673966
C2,0.49391633
SLAMF8,0.4846323
CALHM6,0.45934486
WARS1,0.45445946
SEPTIN4,0.4501072
ALDH1A1,0.42482865
FCGR1A,0.4223038
APOL3,0.4077574
IFI44L,0.40013677
ISG20,0.39460877
MAP3K7CL,0.38669068
IFI6,0.3741431
MT2A,0.36984542
CD72,0.35545874
GBP2,0.35073972
MYOF,0.35009342
IFI27,0.3490654
LAP3,0.34312928
FCGR3A,0.3414837
TNFSF10,0.33866042
CD40,0.32591394
SDC3,0.32344848
TYMP,0.31957847
C1QA,0.3124051
P2RY6,0.31145072
DYSF,0.2920851
FPR2,0.28744727
CD209,0.28393853
FOLR2,0.27861214
ADCY3,0.27803278
ISG15,0.2778037
ATP1B1,0.27645355
PALM2AKAP2,0.27596644
P2RY14,0.25764915
FRMD3,0.25694525
IL2RG,0.25625443
CLU,0.2554865
PLEKHO1,0.2456084
OPTN,0.2429087
LMNB1,0.23942803
IFIT2,0.2281837
GAS6,0.22473614
LRRK2,0.21904935
PFKP,0.21130654
IL18BP,0.2101534
SCIMP,0.20075199
ITGB7,0.19342604
OAS3,0.19281177
PSTPIP2,0.18936354
DHRS9,0.18439867
FPR1,0.18439355
FFAR2,0.18097131
STOM,0.17935616
CCR2,0.17894304
FGL2,0.17678873
ATF5,0.16766089
IFIT3,0.1654291
LHFPL2,0.16339473
MAF,0.1603523
APOBEC3A,0.16005671
GPR84,0.15599298
TMEM176B,0.15450412
IRF7,0.15448552
ADA2,0.15144992
CD274,0.14942928
CSF2RB,0.14884853
SOCS1,0.14870697
CTSL,0.14380322
BCL2A1,0.14325005
LILRB1,0.14324684
IL6,0.14095658
SECTM1,0.14079033
MTHFD2,0.140038
S100A8,0.13996443
MTHFD1,0.13849038
LIPA,0.13318548
IL1RN,0.13146766
ACP5,0.12954958
HSPA8,0.12687096
RRAD,0.122652434
ASAP2,0.12222293
NR1H3,0.12158131
BANK1,0.12138082
ISOC2,0.121379524
GSN,0.11991558
NECTIN2,0.11797453
SLC1A5,0.11576913
IL4I1,0.11479989
RSU1,0.11380049
MARCO,0.11364265
FYB1,0.11201447
ERLIN1,0.11162815
SLC8A1,0.10996027
ICAM2,0.10970374
CES1,0.10962064
GIMAP4,0.10898439
ADRB2,0.107745185
CTSA,0.10539797
CLCN4,0.10516312
LAG3,0.10366714
VSIG4,0.10326934
CALR,0.10257813
S100P,0.10005445
RNASE2,0.09985864
CLEC10A,0.09753683
SLC37A1,0.09703946
MFSD2A,0.0914848
TMEM109,0.09148305
TLR7,0.0910946
PTPRJ,0.09085557
FCGR3B,0.081931114
C1orf162,0.08171269
UBASH3B,0.081137344
FMNL2,0.08048858
C3AR1,0.08028157
HSPB1,0.08002047
CD69,0.07912558
TMEM121B,0.07587899
ILK,0.07321881
SUSD3,0.07265383
RMI2,0.072526895
NABP1,0.072448075
PTPN7,0.07167296
BRCA2,0.07094088
DUSP5,0.07075861
