pcr_duplicate_count,likelihood
1,0.07954673697090664
2,0.10993851321891168
3,0.16267796787653466
4,0.1919060165290345
5,0.22113406518153433
6,0.2503621138340342
7,0.279590162486534
8,0.34405701315114956
9,0.35597256317744685
10,0.3678881132037439
11,0.3798036632300412
12,0.39171921325633874
13,0.4036347632826358
14,0.4155503133089329
15,0.4274658633352302
16,0.4393814133615277
17,0.45129696338782477
18,0.46321251341412206
19,0.47512806344041913
20,0.48704361346671665
21,0.4989591634930137
22,0.510874713519311
23,0.5227902635456081
24,0.6143754053960819
25,0.6196354754230993
26,0.6248955454501166
27,0.630155615477134
28,0.6354156855041517
29,0.6406757555311686
30,0.6459358255581864
31,0.6511958955852037
32,0.6564559656122211
33,0.6617160356392384
34,0.6669761056662562
35,0.6722361756932735
36,0.6774962457202909
37,0.6827563157473082
38,0.688016385774326
39,0.6932764558013429
40,0.6985365258283607
41,0.703796595855378
42,0.7090566658823954
43,0.7143167359094127
44,0.7195768059364305
45,0.7248368759634478
46,0.7300969459904652
47,0.7353570160174825
48,0.7406170860444998
49,0.7458771560715176
50,0.751137226098535
51,0.7563972961255523
52,0.7616573661525696
53,0.766917436179587
54,0.7721775062066043
55,0.7774375762336221
56,0.782697646260639
57,0.7879577162876568
58,0.7932177863146741
59,0.7984778563416914
60,0.8037379263687088
61,0.8089979963957266
62,0.8142580664227439
63,0.8195181364497612
64,0.8247782064767786
65,0.8682316408694439
66,0.8702924291312852
67,0.8723532173931265
68,0.8744140056549683
69,0.8764747939168096
70,0.8785355821786514
71,0.8805963704404927
72,0.882657158702334
73,0.8847179469641757
74,0.886778735226017
75,0.8888395234878588
76,0.8909003117497001
77,0.8929611000115414
78,0.8950218882733831
79,0.8970826765352244
80,0.8991434647970658
81,0.9012042530589071
82,0.9032650413207488
83,0.9053258295825906
84,0.9073866178444319
85,0.9094474061062732
86,0.9115081943681149
87,0.9135689826299562
88,0.915629770891798
89,0.9176905591536393
90,0.9197513474154806
91,0.9218121356773223
92,0.9238729239391636
93,0.925933712201005
94,0.9279945004628463
95,0.930055288724688
96,0.9321160769865293
97,0.9341768652483711
98,0.9362376535102124
99,0.9382984417720541
100,0.9403592300338954
101,0.9424200182957372
102,0.9444808065575785
103,0.9465415948194198
104,0.9486023830812615
105,0.9506631713431029
106,0.9527239596049442
107,0.9547847478667859
108,0.964110123072921
109,0.9645587452879116
110,0.9650073675029023
111,0.9654559897178934
112,0.965904611932884
113,0.9663532341478747
114,0.9668018563628658
115,0.9672504785778564
116,0.967699100792847
117,0.9681477230078377
118,0.9685963452228283
119,0.969044967437819
120,0.9694935896528101
121,0.9699422118678007
122,0.9703908340827918
123,0.9708394562977825
124,0.9712880785127731
125,0.9717367007277637
126,0.9721853229427544
127,0.972633945157745
128,0.9730825673727357
129,0.9735311895877268
130,0.9739798118027174
131,0.9744284340177081
132,0.9748770562326992
133,0.9753256784476898
134,0.9757743006626804
135,0.9762229228776711
136,0.9766715450926617
137,0.9771201673076528
138,0.9775687895226435
139,0.9782190308747412
140,0.9783629324577912
141,0.9785068340408416
142,0.9786507356238916
143,0.9787946372069416
144,0.978938538789992
145,0.979082440373042
146,0.979226341956092
147,0.9793702435391425
148,0.9795141451221925
149,0.9796580467052429
150,0.9798019482882929
151,0.9799458498713429
152,0.9800897514543934
153,0.9802336530374434
154,0.9803775546204934
155,0.9805214562035434
156,0.9806653577865934
157,0.9808092593696438
158,0.9809531609526938
159,0.9810970625357438
160,0.9812409641187942
161,0.9822318048868128
162,0.9822333218805941
163,0.9822348388743753
164,0.982236355868157
165,0.9822378728619383
166,0.9822393898557196
167,0.9822409068495008
168,0.9822424238432825
169,0.9822439408370638
170,0.9822454578308455
171,0.9822469748246268
172,0.982248491818408
173,0.9822500088121893
174,0.9822515258059705
175,0.9822530427997522
176,0.9822545597935335
177,0.9822560767873147
178,0.9822575937810964
179,0.9818304563741256
180,0.9818817057297102
181,0.9819329550852944
182,0.9819842044408786
183,0.9820354537964633
184,0.9820867031520475
185,0.9821379525076317
186,0.9821892018632163
187,0.9822404512188005
188,0.9822917005743848
189,0.9823429499299694
190,0.9823941992855536
191,0.9824454486411378
192,0.982496697996722
193,0.9825479473523067
194,0.9825991967078909
195,0.9826504460634751
196,0.9827091374879817
197,0.9827146058519931
198,0.9827200742160045
199,0.9827255425800154
200,0.9827310109440268
201,0.9827364793080373
202,0.9827419476720487
203,0.9827474160360601
204,0.982752884400071
205,0.9827583527640824
206,0.9827638211280934
207,0.9827692894921043
208,0.9827747578561157
209,0.9827802262201266
210,0.982785694584138
211,0.9834316077833054
212,0.9835296300804193
213,0.9836276523775336
214,0.9837256746746479
215,0.9838236969717618
216,0.9839217192688761
217,0.9840197415659904
218,0.9841177638631042
219,0.9842157861602185
220,0.9843138084573329
221,0.9844118307544467
222,0.984509853051561
223,0.9846078753486749
224,0.9847058976457892
225,0.9848039199429035
226,0.9849019422400174
227,0.9836895517972839
228,0.9836617326140287
229,0.983633913430773
230,0.9836060942475178
231,0.9835782750642621
232,0.9835504558810064
233,0.9835226366977512
234,0.9834948175144955
235,0.9834669983312399
236,0.9834391791479846
237,0.983411359964729
238,0.9833835407814733
239,0.983355721598218
240,0.9833279024149624
241,0.9833000832317067
242,0.983272264048451
243,0.9840253912996495
244,0.984027966054188
245,0.9840305408087269
246,0.9840331155632653
247,0.9840356903178042
248,0.9840382650723423
249,0.9840408398268812
250,0.9840434145814201
251,0.9840459893359581
252,0.984048564090497
253,0.9840511388450359
254,0.9840537135995744
255,0.9840562883541129
256,0.9840588631086513
257,0.9840614378631902
258,0.9840640126177287
259,0.9840665873722672
260,0.9840691621268061
261,0.984071736881345
262,0.984074311635883
263,0.9844783059781359
264,0.9844099267572468
265,0.9843415475363577
266,0.9842731683154686
267,0.9842047890945791
268,0.98413640987369
269,0.9840680306528009
270,0.9839996514319114
271,0.9839312722110223
272,0.9838628929901327
273,0.9837945137692437
274,0.9837261345483541
275,0.9836577553274655
276,0.9835893761065759
277,0.9835209968856868
278,0.9834526176647973
279,0.9833842384439082
280,0.9833158592230187
281,0.9832474800021296
282,0.9831791007812405
283,0.983110721560351
284,0.9830423423394619
285,0.9829739631185723
286,0.9816241984336713
287,0.9815661350097522
288,0.9815080715858331
289,0.9814500081619135
290,0.9813919447379944
291,0.9813338813140748
292,0.9812758178901557
293,0.9812177544662362
294,0.981159691042317
295,0.9811016276183979
296,0.9810435641944788
297,0.9809855007705592
298,0.9809274373466401
299,0.9808693739227206
300,0.9808113104988014
301,0.9807532470748819
302,0.9806951836509628
303,0.9806371202270436
304,0.9805790568031245
305,0.980520993379205
306,0.9804629299552858
307,0.9804048665313663
308,0.9803468031074472
309,0.980288739683528
310,0.9802306762596085
311,0.9801726128356893
312,0.9801145494117698
313,0.9800564859878507
314,0.9818855157296773
315,0.981827135244528
316,0.9817687547593787
317,0.9817103742742295
318,0.9816519937890802
319,0.9815936133039309
320,0.9815352328187816
321,0.9814768523336324
322,0.9814184718484831
323,0.9813600913633338
324,0.9813017108781845
325,0.9812433303930352
326,0.981184949907886
327,0.9811265694227367
328,0.9810681889375874
329,0.9810098084524381
330,0.9809514279672888
331,0.9808930474821396
332,0.9808346669969903
333,0.980776286511841
334,0.9807179060266917
335,0.9806595255415425
336,0.9806011450563932
337,0.9805427645712439
338,0.9804843840860946
339,0.9804260036009453
340,0.9803676231157961
341,0.9803092426306463
342,0.9802508621454975
343,0.9801924816603482
344,0.980134101175199
345,0.9797754020842788
346,0.9798029422262382
347,0.979830482368198
348,0.9798580225101574
349,0.9798855626521168
350,0.9799131027940766
351,0.979940642936036
352,0.9799681830779954
353,0.9799957232199552
354,0.9800232633619146
355,0.980050803503874
356,0.9800783436458333
357,0.9801058837877932
358,0.9801334239297526
359,0.9801609640717119
360,0.9801885042136718
361,0.9802160443556307
362,0.9802435844975905
363,0.9802711246395499
364,0.9802986647815093
365,0.9803262049234691
366,0.9803537450654285
367,0.9803812852073879
368,0.9804088253493477
369,0.9804363654913071
370,0.9804639056332665
371,0.9804914457752258
372,0.9805189859171857
373,0.980546526059145
374,0.9795084427547458
375,0.9795531959163726
376,0.9795979490779989
377,0.9796427022396252
378,0.979687455401252
379,0.9797322085628783
380,0.9797769617245051
381,0.9798217148861315
382,0.9798664680477578
383,0.9799112212093846
384,0.9799559743710113
385,0.9800007275326377
386,0.980045480694264
387,0.9800902338558903
388,0.9801349870175171
389,0.9801797401791434
390,0.9802244933407698
391,0.9802692465023966
392,0.9803139996640233
393,0.9803587528256497
394,0.980403505987276
395,0.9804482591489028
396,0.9804930123105291
397,0.9805377654721554
398,0.9805825186337822
399,0.9806272717954085
400,0.9806720249570353
401,0.9814220975442978
402,0.9814375876748205
403,0.9814530778053432
404,0.9814685679358659
405,0.9814840580663882
406,0.9814995481969109
407,0.9815150383274336
408,0.9815305284579563
409,0.981546018588479
410,0.9815615087190013
411,0.981576998849524
412,0.9815924889800467
413,0.9816079791105694
414,0.9816234692410921
415,0.9816389593716144
416,0.9816544495021371
417,0.9816699396326598
418,0.9816854297631821
419,0.9817009198937052
420,0.9817164100242275
421,0.9817319001547502
422,0.9817473902852729
423,0.9817628804157952
424,0.9817783705463183
425,0.9817938606768406
426,0.9818093508073633
427,0.981824840937886
428,0.9819272185546963
429,0.9819590143755215
430,0.9819908101963466
431,0.9820226060171722
432,0.9820544018379973
433,0.9820861976588224
434,0.982117993479648
435,0.9821497893004731
436,0.9821815851212983
437,0.9822133809421238
438,0.9822451767629494
439,0.9822769725837746
440,0.9823087684045997
441,0.9823405642254253
442,0.9823723600462504
443,0.9824041558670755
444,0.9824359516879011
445,0.9824677475087262
446,0.9824995433295514
447,0.9825313391503769
448,0.9825631349712021
449,0.9825949307920276
450,0.9826267266128528
451,0.9826585224336779
452,0.9826903182545035
453,0.9827221140753286
454,0.9827539098961537
455,0.9827857057169793
456,0.9828175015378044
457,0.9821126643671452
458,0.9820650888833726
459,0.9820175133996005
460,0.981969937915828
461,0.9819223624320559
462,0.9818747869482838
463,0.9818272114645117
464,0.9817796359807391
465,0.981732060496967
466,0.9816844850131949
467,0.9816369095294228
468,0.9815893340456503
469,0.9815417585618782
470,0.9814941830781061
471,0.9814466075943336
472,0.9813990321105615
473,0.9813514566267889
474,0.9813038811430168
475,0.9812563056592447
476,0.9812087301754722
477,0.9811611546917001
478,0.981113579207928
479,0.9810660037241559
480,0.9810184282403833
481,0.9809708527566112
482,0.9809232772728391
483,0.980875701789067
484,0.9808281263052945
485,0.9807805508215224
486,0.9807329753377498
487,0.9806853998539777
488,0.9806378243702052
489,0.9805902488864331
490,0.980542673402661
491,0.9820834763321233
492,0.982010466539605
493,0.9819374567470862
494,0.9818644469545679
495,0.9817914371620495
496,0.9817184273695312
497,0.9816454175770124
498,0.9815724077844941
499,0.9814993979919757
500,0.9814263881994574
501,0.9813533784069386
502,0.9812803686144203
503,0.9812073588219019
504,0.9811343490293836
505,0.9810613392368648
506,0.9809883294443469
507,0.9809153196518285
508,0.9808423098593098
509,0.9807693000667914
510,0.9806962902742731
511,0.9806232804817547
512,0.980550270689236
513,0.9804772608967176
514,0.9804042511041993
515,0.9803312413116809
516,0.9802582315191626
517,0.9801852217266438
518,0.9801122119341255
519,0.9800392021416071
520,0.9799661923490888
521,0.97989318255657
522,0.9798201727640516
523,0.9797471629715333
524,0.979674153179015
525,0.9796011433864966
526,0.9795281335939783
527,0.9794551238014599
528,0.9793821140089412
529,0.9793091042164228
530,0.9792360944239045
531,0.9791630846313861
532,0.9790900748388673
533,0.979017065046349
534,0.9789440552538307
535,0.9788710454613123
536,0.9787980356687935
537,0.9787250258762752
538,0.9786520160837568
539,0.9785790062912385
540,0.9785059964987197
541,0.9784329867062018
542,0.9783599769136835
543,0.9782869671211647
544,0.9782139573286464
545,0.978140947536128
546,0.9780679377436097
547,0.9779949279510909
548,0.9779219181585725
549,0.9778489083660542
550,0.9777758985735359
551,0.9777028887810175
552,0.9776298789884987
553,0.9775568691959804
554,0.977483859403462
555,0.9774108496109437
556,0.9773378398184249
557,0.9772648300259066
558,0.9771918202333882
559,0.9771188104408699
560,0.9770458006483516
561,0.9769727908558332
562,0.9768997810633149
563,0.9768267712707961
564,0.9767537614782777
565,0.9766807516857594
566,0.9766077418932411
567,0.9765347321007223
568,0.9764617223082039
569,0.9763887125156856
570,0.9763157027231673
571,0.9762426929306485
572,0.9761696831381301
573,0.9760966733456118
574,0.9760236635530934
575,0.9759506537605747
576,0.9758776439680563
577,0.9758046341755384
578,0.9757316243830196
579,0.9756586145905013
580,0.975585604797983
581,0.9755125950054646
582,0.9754395852129458
583,0.9753665754204275
584,0.9752935656279091
585,0.9752205558353908
586,0.975147546042872
587,0.9750745362503537
588,0.9750015264578353
589,0.974928516665317
590,0.9748555068727986
591,0.9747824970802799
592,0.9747094872877615
593,0.9746364774952432
594,0.9745634677027248
595,0.974044025740259
596,0.974044025740259
597,0.974044025740259
598,0.974044025740259
599,0.974044025740259
600,0.974044025740259
601,0.974044025740259
602,0.974044025740259
603,0.974044025740259
604,0.974044025740259
605,0.974044025740259
606,0.974044025740259
607,0.974044025740259
608,0.974044025740259
609,0.974044025740259
610,0.974044025740259
611,0.974044025740259
612,0.974044025740259
613,0.974044025740259
614,0.974044025740259
615,0.974044025740259
616,0.974044025740259
617,0.974044025740259
618,0.974044025740259
619,0.974044025740259
620,0.974044025740259
621,0.974044025740259
622,0.974044025740259
623,0.974044025740259
624,0.974044025740259
625,0.974044025740259
626,0.974044025740259
627,0.974044025740259
628,0.974044025740259
629,0.974044025740259
630,0.974044025740259
631,0.974044025740259
632,0.974044025740259
633,0.974044025740259
634,0.974044025740259
635,0.974044025740259
636,0.974044025740259
637,0.974044025740259
638,0.974044025740259
639,0.974044025740259
640,0.974044025740259
641,0.974044025740259
642,0.974044025740259
643,0.974044025740259
644,0.974044025740259
645,0.974044025740259
646,0.974044025740259
647,0.974044025740259
648,0.974044025740259
649,0.974044025740259
650,0.974044025740259
651,0.974044025740259
652,0.974044025740259
653,0.974044025740259
654,0.974044025740259
655,0.974044025740259
656,0.974044025740259
657,0.974044025740259
658,0.974044025740259
659,0.974044025740259
660,0.974044025740259
661,0.974044025740259
662,0.974044025740259
663,0.974044025740259
664,0.974044025740259
665,0.974044025740259
666,0.974044025740259
667,0.974044025740259
668,0.974044025740259
669,0.974044025740259
670,0.974044025740259
671,0.974044025740259
672,0.974044025740259
673,0.974044025740259
674,0.974044025740259
675,0.974044025740259
676,0.974044025740259
677,0.974044025740259
678,0.974044025740259
679,0.974044025740259
680,0.974044025740259
681,0.974044025740259
682,0.974044025740259
683,0.974044025740259
684,0.974044025740259
685,0.974044025740259
686,0.974044025740259
687,0.974044025740259
688,0.974044025740259
689,0.974044025740259
690,0.974044025740259
691,0.974044025740259
692,0.974044025740259
693,0.974044025740259
694,0.974044025740259
695,0.974044025740259
696,0.974044025740259
697,0.974044025740259
698,0.974044025740259
699,0.974044025740259
700,0.974044025740259
701,0.974044025740259
702,0.974044025740259
703,0.974044025740259
704,0.974044025740259
705,0.974044025740259
706,0.974044025740259
707,0.974044025740259
708,0.974044025740259
709,0.974044025740259
710,0.974044025740259
711,0.974044025740259
712,0.974044025740259
713,0.974044025740259
714,0.974044025740259
715,0.974044025740259
716,0.974044025740259
717,0.974044025740259
718,0.974044025740259
719,0.974044025740259
720,0.974044025740259
721,0.974044025740259
722,0.974044025740259
723,0.974044025740259
724,0.974044025740259
725,0.974044025740259
726,0.974044025740259
727,0.974044025740259
728,0.974044025740259
729,0.974044025740259
730,0.974044025740259
731,0.974044025740259
732,0.974044025740259
733,0.974044025740259
734,0.974044025740259
735,0.974044025740259
736,0.974044025740259
737,0.974044025740259
738,0.974044025740259
739,0.974044025740259
740,0.974044025740259
741,0.974044025740259
742,0.974044025740259
743,0.974044025740259
744,0.974044025740259
745,0.974044025740259
746,0.974044025740259
747,0.974044025740259
748,0.974044025740259
749,0.974044025740259
750,0.974044025740259
751,0.974044025740259
752,0.974044025740259
753,0.974044025740259
754,0.974044025740259
755,0.974044025740259
756,0.974044025740259
757,0.974044025740259
758,0.974044025740259
759,0.974044025740259
760,0.974044025740259
761,0.974044025740259
762,0.974044025740259
763,0.974044025740259
764,0.974044025740259
765,0.974044025740259
766,0.974044025740259
767,0.974044025740259
768,0.974044025740259
769,0.974044025740259
770,0.974044025740259
771,0.974044025740259
772,0.974044025740259
773,0.974044025740259
774,0.974044025740259
775,0.974044025740259
776,0.974044025740259
777,0.974044025740259
778,0.974044025740259
779,0.974044025740259
780,0.974044025740259
781,0.974044025740259
782,0.974044025740259
783,0.974044025740259
784,0.974044025740259
785,0.974044025740259
786,0.974044025740259
787,0.974044025740259
788,0.974044025740259
789,0.974044025740259
790,0.974044025740259
791,0.974044025740259
792,0.974044025740259
793,0.974044025740259
794,0.974044025740259
795,0.974044025740259
796,0.974044025740259
797,0.974044025740259
798,0.974044025740259
799,0.974044025740259
800,0.974044025740259
801,0.974044025740259
802,0.974044025740259
803,0.974044025740259
804,0.974044025740259
805,0.974044025740259
806,0.974044025740259
807,0.974044025740259
808,0.974044025740259
809,0.974044025740259
810,0.974044025740259
811,0.974044025740259
812,0.974044025740259
813,0.974044025740259
814,0.974044025740259
815,0.974044025740259
816,0.974044025740259
817,0.974044025740259
818,0.974044025740259
819,0.974044025740259
820,0.974044025740259
821,0.974044025740259
822,0.974044025740259
823,0.974044025740259
824,0.974044025740259
825,0.974044025740259
826,0.974044025740259
827,0.974044025740259
828,0.974044025740259
829,0.974044025740259
830,0.974044025740259
831,0.974044025740259
832,0.974044025740259
833,0.974044025740259
834,0.974044025740259
835,0.974044025740259
836,0.974044025740259
837,0.974044025740259
838,0.974044025740259
839,0.974044025740259
840,0.974044025740259
841,0.974044025740259
842,0.974044025740259
843,0.974044025740259
844,0.974044025740259
845,0.974044025740259
846,0.974044025740259
847,0.974044025740259
848,0.974044025740259
849,0.974044025740259
850,0.974044025740259
851,0.974044025740259
852,0.974044025740259
853,0.974044025740259
854,0.974044025740259
855,0.974044025740259
856,0.974044025740259
857,0.974044025740259
858,0.974044025740259
859,0.974044025740259
860,0.974044025740259
861,0.974044025740259
862,0.974044025740259
863,0.974044025740259
864,0.974044025740259
865,0.974044025740259
866,0.974044025740259
867,0.974044025740259
868,0.974044025740259
869,0.974044025740259
870,0.974044025740259
871,0.974044025740259
872,0.974044025740259
873,0.974044025740259
874,0.974044025740259
875,0.974044025740259
876,0.974044025740259
877,0.974044025740259
878,0.974044025740259
879,0.974044025740259
880,0.974044025740259
881,0.974044025740259
882,0.974044025740259
883,0.974044025740259
884,0.974044025740259
885,0.974044025740259
886,0.974044025740259
887,0.974044025740259
888,0.974044025740259
889,0.974044025740259
890,0.974044025740259
891,0.974044025740259
892,0.974044025740259
893,0.974044025740259
894,0.974044025740259
895,0.974044025740259
896,0.974044025740259
897,0.974044025740259
898,0.974044025740259
899,0.974044025740259
900,0.974044025740259
901,0.974044025740259
902,0.974044025740259
903,0.974044025740259
904,0.974044025740259
905,0.974044025740259
906,0.974044025740259
907,0.974044025740259
908,0.974044025740259
909,0.974044025740259
911,0.974044025740259
912,0.974044025740259
913,0.974044025740259
914,0.974044025740259
915,0.974044025740259
916,0.974044025740259
917,0.974044025740259
918,0.974044025740259
919,0.974044025740259
920,0.974044025740259
921,0.974044025740259
922,0.974044025740259
923,0.974044025740259
924,0.974044025740259
925,0.974044025740259
926,0.974044025740259
927,0.974044025740259
928,0.974044025740259
929,0.974044025740259
930,0.974044025740259
931,0.974044025740259
933,0.974044025740259
934,0.974044025740259
935,0.974044025740259
936,0.974044025740259
937,0.974044025740259
938,0.974044025740259
939,0.974044025740259
940,0.974044025740259
941,0.974044025740259
942,0.974044025740259
943,0.974044025740259
944,0.974044025740259
945,0.974044025740259
946,0.974044025740259
947,0.974044025740259
