,primerid,Pr(>Chisq),coef,ci.hi,ci.lo,fdr
1,FIGN,0,1.06428278355105,1.11791973309348,1.01064583400862,0
2,PCDH9,0,1.18247117646222,1.24213243893459,1.12280991398984,0
3,PRSS21,0,-0.923249948393975,-0.892474692784936,-0.954025204003015,0
4,LAMA2,8.78008958434304e-303,0.625629466947959,0.671663920009901,0.579595013886017,2.96284123023656e-299
5,MAN1A1,4.32908193780138e-280,-1.02822717044264,-0.98243097115849,-1.07402336972679,1.16867895992886e-276
6,CHMP1B,4.66253689621964e-264,1.07768868279019,1.13193251334288,1.02344485223751,1.04891538375288e-260
7,AFDN,3.33688692104889e-246,0.762646997390356,0.812202290570808,0.713091704209904,6.43447138004542e-243
8,DNM3,9.20685744080538e-245,0.819011988762436,0.869603446344188,0.768420531180683,1.55342702169989e-241
9,LEPR,5.79030333291596e-232,0.833056650258532,0.885532451926515,0.780580848590549,8.68416826529997e-229
10,PLAC8,1.71508752076826e-229,-0.846358595388251,-0.790574504933098,-0.902142685843403,2.31502513553299e-226
11,EEF2,4.86103052736934e-221,0.489398059587391,0.518175269917934,0.460620849256849,5.9649263689483e-218
12,DOK6,2.00500206819021e-218,0.386586080095538,0.423094274254741,0.350077885936334,2.25529315970262e-215
13,PTGS1,2.89816721034712e-217,0.836650519380191,0.891196307932403,0.78210473082798,3.00918930809734e-214
14,FREM1,1.4748155748706e-205,0.828685356025596,0.883637925715182,0.77373278633601,1.42193290211453e-202
15,TCEAL2,3.36959457765345e-204,0.385725591505521,0.421126856216372,0.35032432679467,3.03218584061108e-201
16,TRBC2,3.59699204741144e-201,-1.04105137769545,-0.97655814171423,-1.10554461367667,3.03451241599748e-198
17,PGM5,4.14741557240707e-199,0.48660164417175,0.526195807952089,0.447007480391411,3.29304796449121e-196
18,PIEZO2,3.83409856083038e-198,0.510580681052713,0.554161616199371,0.466999745906055,2.87514790967158e-195
19,USP3,1.40338480269422e-197,-0.752996602608088,-0.712004561375572,-0.793988643840604,9.96994108777191e-195
20,C12orf57,3.873307031986e-184,0.820789343079343,0.876322483680096,0.76525620247859,2.61409491588735e-181
21,PRKACB,6.33651743459825e-183,0.711110717379467,0.75784103987633,0.664380394882603,4.07287201581939e-180
22,MYCN,2.79711648087884e-181,-0.976919117249793,-0.908584203239573,-1.04525403126001,1.71615810267739e-178
23,CD96,2.44865391988969e-178,-0.575888931323263,-0.545663831770915,-0.606114030875611,1.43704046133352e-175
24,RAPGEF2,3.9359950677185e-171,0.759346026586357,0.809585873649509,0.709106179523204,2.21366922600268e-168
25,C1QTNF4,1.35143717683341e-170,-0.787587766558749,-0.741340523342771,-0.833835009774727,7.29667960515896e-168
26,CSF3R,6.38276563481206e-170,-0.954096809088824,-0.88814375720939,-1.02004986096826,3.31363732841128e-167
27,MYCT1,1.26127609609533e-168,0.856547195147525,0.911465299963879,0.80162909033117,6.30544620188696e-166
28,CACNA1D,1.64508487916445e-168,0.347769351623722,0.384645481600543,0.310893221646901,7.93048417820061e-166
29,CDH7,8.81220748275341e-166,0.402252524508036,0.440824582604538,0.363680466411534,4.1016267793864e-163
30,SPINK2,8.40232615510355e-160,-0.816996504149102,-0.75573126147797,-0.878261746820233,3.78048661471959e-157
31,TMSB4X,1.31876077068481e-155,-0.65725012983194,-0.610090003642457,-0.704410256021424,5.74213963958179e-153
32,ZCCHC8,9.21046632674703e-155,0.680244166095212,0.73342705695214,0.627061275238285,3.88508982745098e-152
33,TFRC,5.17590483543777e-154,-0.814497601466431,-0.755053041839323,-0.873942161093539,2.11710192329512e-151
34,MYH10,3.09962278866691e-153,0.749767577024925,0.805965084076129,0.693570069973721,1.23055024710077e-150
35,MAPRE2,6.35326930107663e-152,0.803968889512217,0.859424937318303,0.748512841706132,2.45018368645521e-149
36,FXYD5,9.90212174441278e-146,0.521958997588395,0.560621045331817,0.483296949844972,3.7127455362801e-143
37,GAS2,1.31503136255354e-145,0.458137490420902,0.504666214430433,0.41160876641137,4.79737657614803e-143
38,ITM2A,6.50170362094773e-145,-0.713013555108534,-0.656837528214279,-0.769189582002789,2.30947356514612e-142
39,MLLT3,1.71008573578352e-141,0.722528961792665,0.775950283428282,0.669107640157049,5.91865057989896e-139
40,MED12L,1.55696284221974e-140,0.755643889619106,0.81098035645863,0.700307422779581,5.25397111107053e-138
41,NDUFV2,8.53276822410239e-139,0.620114391848897,0.667271761313425,0.57295702238437,2.80915379241303e-136
42,ENO1,3.25537032491138e-133,-0.557542510371338,-0.512095253672456,-0.60298976707022,1.04621401537271e-130
43,BRF1,1.1644014882975e-131,0.671277532281802,0.722722784015893,0.61983228054771,3.655137509079e-129
44,SH3GL3,5.07280151715324e-129,0.299960361528212,0.332884475679987,0.267036247376438,1.55619715633033e-126
45,MAL,1.55964469190089e-128,0.46147578737531,0.505799974490399,0.41715160026022,4.67824090028404e-126
46,CD99,3.34054691706072e-127,-0.734240858585724,-0.673817760823422,-0.794663956348026,9.80232658401861e-125
47,GTSF1,1.76494540601389e-123,-0.335307345242748,-0.313186144070181,-0.357428546415316,5.06877299795224e-121
48,HPGD,7.71801994711302e-119,-0.66329582187195,-0.614547407986847,-0.712044235757052,2.17037152596107e-116
49,RIC3,9.24172836677325e-118,0.497979878488351,0.543852741903609,0.452107015073094,2.54581325499399e-115
50,PDZK1IP1,4.41344157351085e-116,0.369590010341006,0.408775773461507,0.330404247220505,1.19145268718499e-113
51,IGFBP7,1.21083541521219e-112,-0.594678856896575,-0.549904195766593,-0.639453518026557,3.20467773226161e-110
52,PTGS2,1.045847934186e-111,0.804327700940306,0.877139011648942,0.73151639023167,2.71477988762359e-109
